"Points:0","Points:1","Points:2","T","T.liquid","T.vapor","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.vapor","alphas","dgdt.liquid","dgdt.vapor","p","p_rgh","rho"
0.5,0.0866632,0,299.65,299.65,299.65,-0.0226193,-7.82381e-05,0,9.98756e-10,9.99163e-10,1,1,0,5.98921e-05,101325,101325,0.732054
0.5,0.0883298,0.005,299.646,299.646,299.646,-0.0206583,-0.000106327,0,7.12073e-13,7.12791e-13,1,1,0,5.40008e-05,101325,101325,0.732063
0.5,0.0883298,0,299.646,299.646,299.646,-0.0206583,-0.000106327,0,7.12073e-13,7.12791e-13,1,1,0,5.40008e-05,101325,101325,0.732063
0.5,0.0899964,0.005,299.641,299.641,299.641,-0.0187591,-0.000131983,0,4.22149e-15,4.22602e-15,1,1,0,4.82141e-05,101325,101325,0.732075
0.5,0.0899964,0,299.641,299.641,299.641,-0.0187591,-0.000131983,0,4.22149e-15,4.22602e-15,1,1,0,4.82141e-05,101325,101325,0.732075
0.5,0.091663,0.005,299.635,299.635,299.635,-0.0169215,-0.00015526,0,4.20265e-17,4.20681e-17,1,1,0,4.25553e-05,101325,101325,0.732089
0.5,0.091663,0,299.635,299.635,299.635,-0.0169215,-0.00015526,0,4.20265e-17,4.20681e-17,1,1,0,4.25553e-05,101325,101325,0.732089
0.5,0.0933296,0.005,299.629,299.629,299.629,-0.0151456,-0.000176213,0,4.89464e-19,4.89895e-19,1,1,0,3.70486e-05,101325,101325,0.732105
0.5,0.0933296,0,299.629,299.629,299.629,-0.0151456,-0.000176213,0,4.89464e-19,4.89895e-19,1,1,0,3.70486e-05,101325,101325,0.732105
0.5,0.0949962,0.005,299.621,299.621,299.621,-0.0134316,-0.000194905,0,5.53393e-21,5.53816e-21,1,1,0,3.17126e-05,101325,101325,0.732123
0.5,0.0949962,0,299.621,299.621,299.621,-0.0134316,-0.000194905,0,5.53393e-21,5.53816e-21,1,1,0,3.17126e-05,101325,101325,0.732123
0.5,0.0966628,0.005,299.613,299.613,299.613,-0.0117794,-0.000211402,0,5.54255e-23,5.54617e-23,1,1,0,2.65679e-05,101325,101325,0.732142
0.5,0.0966628,0,299.613,299.613,299.613,-0.0117794,-0.000211402,0,5.54255e-23,5.54617e-23,1,1,0,2.65679e-05,101325,101325,0.732142
